location,,,,경도,위도
서울특별시 강동구 강일동 미사강변남로,,,,127.1913164,37.5601457
서울특별시 강동구 강일동 수도권제1순환고속도로,,,,127.173899,37.56254748
서울특별시 강동구 고덕동 동남로,,,,127.1529749,37.53962994
서울특별시 강동구 상일동 고덕로80길,,,,127.1651728,37.55361087
서울특별시 강동구 길동 양재대로111길,,,,127.1376413,37.53745534
서울특별시 강동구 둔촌동 진황도로,,,,127.1403838,37.53405195
서울특별시 강동구 암사동 고덕로,,,,127.1279265,37.55516272
서울특별시 강동구 성내동 올림픽로,,,,127.1277866,37.54920616
서울특별시 강동구 성내동 천호대로162길,,,,127.1279736,37.5342067
서울특별시 강동구 천호동 진황도로,,,,127.1403838,37.53405195
서울특별시 강동구 명일동 동남로,,,,127.1529749,37.53962994
서울특별시 강동구 길동 명일로,,,,127.1454265,37.536038
서울특별시 강동구 둔촌동 양재대로84길,,,,127.1357888,37.52340041
서울특별시 강동구 상일동 초이로,,,,127.1713862,37.53844285
서울특별시 강동구 상일동 천호대로,,,,127.1369883,37.53373437
서울특별시 강동구 길동 천호대로175길,,,,127.1361258,37.53554372
서울특별시 강동구 고덕동 고덕로83길,,,,127.1693748,37.56063249
서울특별시 강동구 상일동 수도권제1순환고속도로,,,,127.173899,37.56254748
서울특별시 강동구 상일동 고덕로,,,,127.1279265,37.55516272
서울특별시 강동구 상일동 상일로6길,,,,127.1763501,37.54969732
서울특별시 강동구 둔촌동 강동대로,,,,127.1330332,37.52179267
서울특별시 강동구 명일동 구천면로,,,,127.1466497,37.55056387
서울특별시 강동구 명일동 동남로75길,,,,127.1549115,37.55434928
서울특별시 강동구 고덕동 아리수로,,,,127.1544648,37.56228706
서울특별시 강동구 성내동 성안로3길,,,,127.1260158,37.52705001
서울특별시 강동구 천호동 성안로,,,,127.1329394,37.532457
서울특별시 강동구 명일동 명일로,,,,127.1454265,37.536038
서울특별시 강동구 성내동 강동대로55길,,,,127.134242,37.52631953
서울특별시 강북구 번동 오현로32길,,,,127.039709,37.62837713
서울특별시 강북구 미아동 도봉로50길,,,,127.0290327,37.62611546
서울특별시 강북구 수유동 덕릉로19길,,,,127.020074,37.63500209
서울특별시 강북구 수유동 한천로,,,,127.0309614,37.6369381
서울특별시 강북구 미아동 솔샘로,,,,127.0158855,37.62078024
서울특별시 강북구 미아동 삼양로,,,,127.0195483,37.62293388
서울특별시 강북구 미아동 도봉로,,,,127.0278629,37.6234809
서울특별시 강북구 미아동 도봉로67길,,,,127.0218935,37.62993842
서울특별시 강북구 미아동 인수봉로,,,,127.0125535,37.63617336
서울특별시 강북구 수유동 도봉로77길,,,,127.0213642,37.63355743
서울특별시 강북구 수유동 인수봉로,,,,127.0125535,37.63617336
서울특별시 강북구 번동 도봉로,,,,127.0278629,37.6234809
서울특별시 강북구 번동 한천로,,,,127.0309614,37.6369381
서울특별시 강북구 수유동 삼각산로,,,,127.0087885,37.63886428
서울특별시 강북구 수유동 노해로,,,,127.0245803,37.64631298
서울특별시 강북구 수유동 삼양로,,,,127.0195483,37.62293388
서울특별시 강북구 미아동 오현로,,,,127.0379712,37.62722507
서울특별시 강북구 미아동 숭인로,,,,127.0242448,37.61218514
서울특별시 강북구 번동 한천로105길,,,,127.0461425,37.62584573
서울특별시 강북구 번동 오현로34길,,,,127.040158,37.62787663
